title,link,pubDate,summary,category,tags,slug,migrated
내 노동은 공짜가 아니다,https://blog.naver.com/bitandink/224212951304?fromRss=true&trackingCode=rss,"Wed, 11 Mar 2026 19:55:20 +0900","당근에서 받은 메세지 얼마 전 당근에 홈페이지 제작 나눔 글을 올렸다. 도메인과 호스팅 비용은 의뢰인이 부담하는 조건으로, 포트폴리오용으로 세 곳 정도 제작 의뢰를 받을 생각이었다. 글에도 그 부분에 대해 상세하게 적어 두었다. 그리고 일주일 정도 지났을까. 한 업체에서 문의가 왔다. 새로 개업 예정이라고 했다. 레퍼런스",,,내-노동은-공짜가-아니다,N
"저작권이 점점 더 날카로워지는 시대에, 나는 왜 여전히 '공유'를 믿는가",https://blog.naver.com/bitandink/224209067229?fromRss=true&trackingCode=rss,"Sun, 08 Mar 2026 20:11:58 +0900","얼마 전부터, 내 포트폴리오 홈페이지에 네이버 블로그 글을 RSS로 연동하려고 작업 중이다. 블로그를 따로 운영하고 있으니, 홈페이지에 블로그의 최신 글 목록이 연결되면 내 커리어를 브랜딩하는 데에도 긍정적인 영향을 줄 거라고 생각했기 때문이다. 그런데 구현 방식을 고민하다 말고 문득 예전에 어디선가 본 뉴스 하나가 스쳐",,,저작권이-점점-더-날카로워지는-시대에-나는-왜-여전히-공유를-믿는가,N
〈 오늘 죽는다면 태양을 볼래 〉 ─ 단편소설,https://blog.naver.com/bitandink/224208080170?fromRss=true&trackingCode=rss,"Sat, 07 Mar 2026 19:32:22 +0900","지하에는 낮도 밤도 없었다. 언더월드라 명명된 이 세상에서 시간은 조명 점검표와 배급표에 따라 흘렀다. 누군가는 등불을 ‘빛’이라 불렀다. 젠은 그 말에 고개를 끄덕였다. 그가 아는 빛은 그뿐이었다. 벽을 따라 달린 희미한 전구, 가게 앞에서 깜빡이는 간판의 잔광, 가끔씩 아침을 대신하듯 켜졌다 꺼지는 공공 조명. 젠은 ",,,-오늘-죽는다면-태양을-볼래-단편소설,N
AI에게 판단을 맡긴 사회를 상상해봤다 – move37 이야기,https://blog.naver.com/bitandink/224207366438?fromRss=true&trackingCode=rss,"Sat, 07 Mar 2026 01:38:54 +0900","나는 여러 글에서 같은 문장을 반복해왔다. AI는 도구다. 판단의 주체는 인간이어야 한다. 그런데 가끔 이런 생각이 든다. ""인간은 정말 판단하기를 원하는 존재인가."" 사르트르는 인간이 자유롭기 때문에 오히려 불안해진다고 말했다. 선택할 수 있다는 것은 동시에 그 선택의 결과를 스스로 감당해야 한다는 뜻이기도 하다. 어쩌",,,ai에게-판단을-맡긴-사회를-상상해봤다-move37-이야기,N
〈 감정사용설명서 〉 ─ 휴먼 코미디 숏폼 드라마 기획안,https://blog.naver.com/bitandink/224206062346?fromRss=true&trackingCode=rss,"Fri, 06 Mar 2026 08:40:00 +0900","장르 | 휴먼 코미디 / 힐링 / 관찰형 판타지(로맨스는 감정 학습의 결과로 약하게 배치) 형식 | 숏폼 드라마 / 단막 드라마 기획 의도 감정은 인간에게 축복일까, 오류일까. 이 작품은 감정을 이해하지 못하는 존재의 시선으로 인간 사회를 관찰하며, 사랑·슬픔·외로움·연대 같은 감정이 왜 인간을 인간답게 만드는지를 코미디",,,-감정사용설명서-휴먼-코미디-숏폼-드라마-기획안,N
〈 불멸자(가제) 〉 ─ 판타지 드라마 확장 기획안,https://blog.naver.com/bitandink/224206032031?fromRss=true&trackingCode=rss,"Fri, 06 Mar 2026 07:40:00 +0900","장르 | 판타지·로맨스·미스터리·현대 형식 | 단막 드라마(단막 기준 60~70분) / 미니시리즈(8~10부작) 기획의도 〈불멸자〉는 ‘죽지 않는 삶은 축복인가, 형벌인가’라는 질문에서 출발한 이야기다. 이 작품은 한국의 역사와 정서를 바탕으로 불멸이라는 판타지적 설정을 사랑, 시간, 상실이라는 보편적 감정으로 풀어낸다.",,,-불멸자가제-판타지-드라마-확장-기획안,N
"〈 그해, 예순일곱 〉 ─ 드라마 기획안",https://blog.naver.com/bitandink/224206053100?fromRss=true&trackingCode=rss,"Fri, 06 Mar 2026 00:59:32 +0900","로그라인 67세의 여성 미순은 오랫동안 감정을 접어둔 채 살아왔다. 어느 날 스쳐 지나간 25세의 한 남자를 통해 그녀는 사랑이 아니라, “자신이 아직 살아 있다는 감각”을 다시 마주하게 된다. 기획 의도 많은 이야기에서 사랑은 젊음의 감정으로 묘사된다. 그러나 인간의 감정은 나이에 따라 사라지지 않는다. 〈그해, 예순일",,,-그해-예순일곱-드라마-기획안,N
〈 B2-18 탈출기 〉 ─ 우화적 블랙코미디 기획안,https://blog.naver.com/bitandink/224205734907?fromRss=true&trackingCode=rss,"Thu, 05 Mar 2026 19:27:59 +0900","장르 | 우화 / 블랙코미디 / 성장 서사 형식 | 단막 드라마((30 ~ 40분) 또는 숏폼 확장 가능(1~2분, 15~20화) 기획 의도 〈B2-18 탈출기〉는 ‘순수는 보호받는가, 이용당하는가’라는 질문에서 출발한 우화적 블랙 코미디다. 이 작품은 익숙한 우화적 캐릭터들을 전복적으로 재해석해 권력, 욕망, 환상이 작",,,-b2-18-탈출기-우화적-블랙코미디-기획안,N
〈 사랑을 빌려드립니다 〉 ─ 숏폼 드라마 기획안,https://blog.naver.com/bitandink/224205683582?fromRss=true&trackingCode=rss,"Thu, 05 Mar 2026 18:34:23 +0900","장르 | 로맨틱 코미디 / 메타 로맨스 / 직업 로맨스 형식 | 숏폼 드라마 (회차당 1~2분 내외 / 약 30~40부작) 로그라인 연애를 ‘연기’로 빌려주는 회사에서 일하는 연기지망생과 로맨스 대본을 쓰기 위해 그 세계에 들어온 시나리오 작가. 가짜로 시작된 관계는, 점점 진짜 감정을 묻는다. 기획 의도 〈사랑을 빌려드",,,-사랑을-빌려드립니다-숏폼-드라마-기획안,N
〈 코코를 바라보는 시간(가제) 〉 ─ AI 애니메이션 기획안,https://blog.naver.com/bitandink/224205664235?fromRss=true&trackingCode=rss,"Thu, 05 Mar 2026 18:16:23 +0900","장르 | 일상 · 성장 · 관찰 드라마 형식 | AI 애니메이션 단편 (3~5분 내외) 기획 의도 〈코코를 바라보는 시간〉은 고양이에게 인생을 배우는 이야기가 아니다. 이 작품은 선택해본 적 없는 사람이 선택하며 살아가는 존재를 처음 바라보는 기록이다. 주인공 하나는 보호받으며 자라왔다. 정보는 많지만, 삶을 스스로 결정",,,-코코를-바라보는-시간가제-ai-애니메이션-기획안,N
〈 지금 연애는 휴업 중  〉 ─ 공감형 숏폼 드라마 기획안,https://blog.naver.com/bitandink/224205650428?fromRss=true&trackingCode=rss,"Thu, 05 Mar 2026 18:03:39 +0900","장르 | 일상·공감·로맨스 비중 낮은 드라마 형식 | 숏폼 드라마 (회차당 1~2분 내외) 기획 의도 〈지금 연애는 휴업 중〉은 연애를 하지 않기로 한 여자의 이야기가 아니라, 연애를 잠시 멈추기로 선택한 사람의 현재형 기록이다. 이 작품은 연애를 권하지도, 부정하지도 않는다. 대신 연애가 기본값처럼 요구되는 사회 속에서",,,-지금-연애는-휴업-중-공감형-숏폼-드라마-기획안,N
